Wavelength [nm]	Normalized Absorption
380.2608948	0.008453296
380.405304	0.009170856
380.5497131	0.008566833
380.6940918	0.009372397
380.838501	0.008359284
380.9828796	0.009520774
381.1272583	0.008289601
381.271637	0.010228722
381.4160156	0.009320885
381.5603638	0.010516467
381.7047424	0.008348621
381.8490906	0.009552162
381.9934387	0.008417404
382.1377869	0.010086202
382.282135	0.008733381
382.4264832	0.010090557
382.5708008	0.009062275
382.7151489	0.010287442
382.8594666	0.008866591
383.0037842	0.009691829
383.1481018	0.008235385
383.2924194	0.009679365
383.4367065	0.008769425
383.5810242	0.010748645
383.7253113	0.009815127
383.8695984	0.011034888
384.0138855	0.009476021
384.1581421	0.009985732
384.3024292	0.008893924
384.4467163	0.00995119
384.5909729	0.00901572
384.7352295	0.010180364
384.8794861	0.008708452
385.0237427	0.010259959
385.1679688	0.009430517
385.3122253	0.010980523
385.4564514	0.009449289
385.6006775	0.010236982
385.7449036	0.00875696
385.8891296	0.010180064
386.0333557	0.008952194
386.1775513	0.010695781
386.3217773	0.009410242
386.4659729	0.01068647
386.6101685	0.009033891
386.754364	0.010273025
386.8985291	0.008586956
387.0427246	0.010073587
387.1868896	0.008836856
387.3310547	0.010955893
387.4752197	0.010073736
387.6193848	0.010850767
387.7635498	0.00937495
387.9077148	0.010395722
388.0518494	0.009754304
388.1959839	0.011196331
388.3401184	0.009932718
388.4842529	0.011173804
388.6283875	0.0096259
388.772522	0.010844159
388.916626	0.009543301
389.06073	0.010755853
389.2048645	0.009235883
389.3489685	0.010216107
389.493042	0.008445487
389.637146	0.009974317
389.7812195	0.008953695
389.9253235	0.010675507
390.069397	0.009299109
390.2134705	0.010409389
390.3575439	0.009316981
390.5015869	0.010722213
390.6456604	0.009705946
390.7897034	0.01094508
390.9337463	0.009803263
391.0777893	0.0107949
391.2218323	0.00960923
391.3658752	0.010707195
391.5099182	0.009837203
391.6539307	0.011149325
391.7979431	0.010144772
391.9419556	0.011290644
392.085968	0.009965757
392.2299805	0.011043598
392.3739624	0.010005405
392.5179749	0.01122892
392.6619568	0.009807017
392.8059387	0.010844309
392.9499207	0.009593161
393.0939026	0.011148273
393.237854	0.010007958
393.3818359	0.010873144
393.5257874	0.009533389
393.6697388	0.010632406
393.8136902	0.010069231
393.9576416	0.011449233
394.1015625	0.010342709
394.2455139	0.011730071
394.3894348	0.010814874
394.5333557	0.012346408
394.6772766	0.010958146
394.8211975	0.012155979
394.9651184	0.01101191
395.1090088	0.011975915
395.2528992	0.010468559
395.3968201	0.011456743
395.5407104	0.010240136
395.6845703	0.011257304
395.8284607	0.009779084
395.9723511	0.01118777
396.1162109	0.009993841
396.2600708	0.011835497
396.4039307	0.010712151
396.5477905	0.012091403
396.6916504	0.01092871
396.8354797	0.011926355
396.9793091	0.010601018
397.1231689	0.011506902
397.2669983	0.010627149
397.4108276	0.011784436
397.5546265	0.010801808
397.6984558	0.011670148
397.8422546	0.01072822
397.9860535	0.011424454
398.1298523	0.010141017
398.2736511	0.011806362
398.41745	0.010725517
398.5612488	0.012230018
398.7050171	0.010879301
398.8487854	0.012550802
398.9925537	0.011715953
399.136322	0.012786285
399.2800903	0.011372041
399.4238281	0.012480368
399.5675964	0.011127849
399.7113342	0.012408583
399.855072	0.011570128
399.9988098	0.013223158
400.1425476	0.012819625
400.2862549	0.013986823
400.4299927	0.01299999
400.5737	0.014331936
400.7174072	0.013190419
400.8611145	0.015065864
401.0048218	0.013734069
401.1485291	0.015469998
401.2922058	0.014364074
401.4358826	0.015692415
401.5795593	0.015150115
401.7232361	0.017040579
401.8669128	0.01700859
402.0105896	0.018964082
402.1542358	0.0189369
402.2978821	0.022091726
402.4415588	0.023073454
402.5852051	0.026401888
402.7288208	0.027052616
402.872467	0.031116334
403.0160828	0.033874986
403.159729	0.043609793
403.3033447	0.060835869
403.4469604	0.102930528
403.5905762	0.179311379
403.7341614	0.303845605
403.8777771	0.459897587
404.0213623	0.62434916
404.1649475	0.760322414
404.3085327	0.857715849
404.4521179	0.913999669
404.5957031	0.947284769
404.7392578	0.967509504
404.8828125	0.986579291
405.0263977	1
405.1699524	0.999802361
405.3134766	0.962171051
405.4570313	0.870437606
405.6005859	0.715790194
405.7441101	0.525749079
405.8876343	0.334658436
406.0311584	0.186632789
406.1746826	0.090065971
406.3181763	0.043745406
406.4617004	0.022550225
406.6051941	0.016760793
406.7486877	0.013257249
406.8921814	0.013831987
407.035675	0.012123842
407.1791687	0.013446475
407.3226624	0.01205596
407.4661255	0.013304705
407.6095886	0.011782032
407.7530518	0.01234881
407.8965149	0.010935318
408.039978	0.011857122
408.1834106	0.01077748
408.3268433	0.012219807
408.4703064	0.011139864
408.613739	0.012692723
408.7571411	0.011022122
408.9005737	0.011765061
409.0440063	0.010556414
409.1874084	0.011420549
409.3308105	0.009946985
409.4742126	0.011094959
409.6176147	0.010029584
409.7610168	0.011672551
409.9043884	0.010297655
410.0477905	0.011742235
410.1911621	0.010860379
410.3345337	0.012185266
410.4779053	0.010912942
410.6212463	0.011913289
