S170C Responsivity	
Wavelength (nm)	Responsivity (A/W)
350.00	0.01
355.00	0.01
360.00	0.01
365.00	0.01
370.00	0.01
375.00	0.01
380.00	0.01
385.00	0.01
390.00	0.01
395.00	0.01
400.00	0.01
405.00	0.01
410.00	0.02
415.00	0.02
420.00	0.02
425.00	0.02
430.00	0.02
435.00	0.02
440.00	0.02
445.00	0.02
450.00	0.02
455.00	0.02
460.00	0.02
465.00	0.02
470.00	0.02
475.00	0.02
480.00	0.02
485.00	0.02
490.00	0.02
495.00	0.02
500.00	0.02
505.00	0.02
510.00	0.02
515.00	0.02
520.00	0.02
525.00	0.03
530.00	0.03
535.00	0.03
540.00	0.03
545.00	0.03
550.00	0.03
555.00	0.03
560.00	0.03
565.00	0.03
570.00	0.03
575.00	0.03
580.00	0.03
585.00	0.03
590.00	0.03
595.00	0.03
600.00	0.03
605.00	0.03
610.00	0.03
615.00	0.03
620.00	0.03
625.00	0.03
630.00	0.03
635.00	0.03
640.00	0.03
645.00	0.03
650.00	0.03
655.00	0.03
660.00	0.03
665.00	0.03
670.00	0.03
675.00	0.03
680.00	0.03
685.00	0.03
690.00	0.03
695.00	0.03
700.00	0.03
705.00	0.03
710.00	0.03
715.00	0.03
720.00	0.03
725.00	0.04
730.00	0.04
735.00	0.04
740.00	0.04
745.00	0.04
750.00	0.04
755.00	0.04
760.00	0.04
765.00	0.04
770.00	0.04
775.00	0.04
780.00	0.04
785.00	0.04
790.00	0.04
795.00	0.04
800.00	0.04
805.00	0.04
810.00	0.04
815.00	0.04
820.00	0.04
825.00	0.04
830.00	0.04
835.00	0.04
840.00	0.04
845.00	0.04
850.00	0.04
855.00	0.04
860.00	0.04
865.00	0.04
870.00	0.04
875.00	0.04
880.00	0.04
885.00	0.04
890.00	0.04
895.00	0.04
900.00	0.04
905.00	0.05
910.00	0.05
915.00	0.05
920.00	0.05
925.00	0.05
930.00	0.05
935.00	0.05
940.00	0.05
945.00	0.05
950.00	0.05
955.00	0.05
960.00	0.05
965.00	0.05
970.00	0.05
975.00	0.05
980.00	0.05
985.00	0.05
990.00	0.05
995.00	0.04
1000.00	0.04
1005.00	0.04
1010.00	0.04
1015.00	0.04
1020.00	0.04
1025.00	0.03
1030.00	0.03
1035.00	0.03
1040.00	0.03
1045.00	0.02
1050.00	0.02
1055.00	0.02
1060.00	0.02
1065.00	0.01
1070.00	0.01
1075.00	0.01
1080.00	0.01
1085.00	0.01
1090.00	0.01
1095.00	0.01
1100.00	0.01
